,event_type,strength_state
1009,goal,5v4
1013,missed-shot,5v5
1016,shot-on-goal,5v5
1021,missed-shot,5v5
1023,missed-shot,5v5
1031,shot-on-goal,5v5
1036,missed-shot,5v5
1037,missed-shot,5v5
1048,missed-shot,5v5
1050,missed-shot,5v5
1051,shot-on-goal,5v5
1053,missed-shot,5v5
1058,shot-on-goal,5v5
1059,shot-on-goal,5v5
1061,shot-on-goal,5v5
1063,shot-on-goal,5v5
1068,shot-on-goal,5v5
1070,shot-on-goal,5v5
1073,goal,5v5
1075,shot-on-goal,5v5
1077,shot-on-goal,5v5
1081,shot-on-goal,5v5
1086,missed-shot,5v5
1087,missed-shot,5v5
1088,shot-on-goal,5v5
1092,missed-shot,5v5
1096,missed-shot,5v5
1098,shot-on-goal,5v5
1105,missed-shot,5v4
1106,missed-shot,5v4
1108,goal,5v4
1112,missed-shot,5v5
1115,shot-on-goal,5v5
1117,shot-on-goal,5v5
1119,shot-on-goal,5v5
1124,shot-on-goal,5v5
1126,shot-on-goal,5v5
1131,shot-on-goal,5v5
1136,shot-on-goal,5v4
1138,missed-shot,5v4
1144,shot-on-goal,5v5
1145,shot-on-goal,5v5
1148,shot-on-goal,5v5
1154,shot-on-goal,5v5
1158,shot-on-goal,5v5
1159,shot-on-goal,5v5
1160,shot-on-goal,5v5
1162,missed-shot,5v5
1164,shot-on-goal,5v5
1166,shot-on-goal,5v5
1170,shot-on-goal,5v5
1172,shot-on-goal,5v5
1173,shot-on-goal,5v5
1174,shot-on-goal,5v5
1175,missed-shot,5v5
1176,shot-on-goal,5v5
1183,goal,5v5
1185,missed-shot,5v5
1188,shot-on-goal,5v5
1197,missed-shot,5v5
1201,shot-on-goal,5v5
1206,shot-on-goal,5v5
1207,missed-shot,5v5
1209,shot-on-goal,5v5
1216,shot-on-goal,5v5
1218,shot-on-goal,5v5
1223,shot-on-goal,5v5
1225,shot-on-goal,5v5
1227,shot-on-goal,5v5
1231,shot-on-goal,5v5
1235,shot-on-goal,5v5
1238,shot-on-goal,5v5
1240,shot-on-goal,5v5
1243,missed-shot,5v5
1246,shot-on-goal,5v5
1248,missed-shot,5v5
1250,missed-shot,5v5
1251,shot-on-goal,5v5
1253,missed-shot,5v5
1256,missed-shot,5v5
1257,shot-on-goal,5v5
1259,shot-on-goal,Other
1262,missed-shot,Other
1269,missed-shot,Other
1270,shot-on-goal,Other
1272,missed-shot,Other
1276,shot-on-goal,Other
1278,missed-shot,Other
1288,shot-on-goal,5v4
1296,goal,5v5
1299,missed-shot,5v5
1306,shot-on-goal,5v5
1310,goal,5v5
1313,goal,5v5
1324,goal,5v4
1327,shot-on-goal,5v5
1329,goal,5v5
1332,shot-on-goal,5v5
1342,shot-on-goal,5v5
1343,missed-shot,5v5
1344,shot-on-goal,5v5
1346,missed-shot,5v5
1349,missed-shot,5v5
1350,shot-on-goal,5v5
1352,shot-on-goal,5v5
1355,missed-shot,5v5
1358,missed-shot,5v5
1363,shot-on-goal,5v5
1371,missed-shot,5v5
1374,shot-on-goal,5v5
1377,shot-on-goal,5v5
1381,missed-shot,5v4
1385,shot-on-goal,5v5
1387,shot-on-goal,5v5
1388,goal,5v5
1391,shot-on-goal,5v5
1396,shot-on-goal,5v5
1401,shot-on-goal,5v5
1405,shot-on-goal,5v5
1408,shot-on-goal,5v5
1409,shot-on-goal,5v5
1411,goal,5v5
1413,shot-on-goal,5v5
1420,missed-shot,5v4
1422,shot-on-goal,5v4
1423,shot-on-goal,5v4
1426,shot-on-goal,4v5
1428,shot-on-goal,5v5
1429,shot-on-goal,5v5
1430,missed-shot,5v5
1431,shot-on-goal,5v5
1434,shot-on-goal,5v5
1438,missed-shot,5v4
1439,shot-on-goal,4v5
1440,shot-on-goal,5v5
1442,shot-on-goal,5v5
1443,shot-on-goal,5v5
1444,shot-on-goal,5v5
1447,shot-on-goal,5v5
1454,shot-on-goal,5v5
1458,shot-on-goal,5v5
1459,shot-on-goal,5v5
1460,shot-on-goal,5v5
1461,missed-shot,5v5
1464,shot-on-goal,5v5
1465,shot-on-goal,5v5
1467,goal,5v5
1471,shot-on-goal,5v5
1472,goal,5v5
1475,missed-shot,5v5
1477,shot-on-goal,5v5
1481,shot-on-goal,5v5
1482,shot-on-goal,5v5
1484,shot-on-goal,5v5
1485,missed-shot,5v5
1487,shot-on-goal,5v5
1492,shot-on-goal,5v5
1497,missed-shot,5v4
1498,shot-on-goal,5v4
1499,missed-shot,5v4
1500,goal,5v5
1504,missed-shot,5v5
1506,shot-on-goal,5v5
1511,shot-on-goal,4v5
1513,shot-on-goal,4v5
1516,shot-on-goal,5v4
1518,shot-on-goal,5v5
1519,missed-shot,5v5
1522,shot-on-goal,5v5
1523,shot-on-goal,5v5
1528,shot-on-goal,5v5
1530,shot-on-goal,5v5
1540,missed-shot,5v4
1544,shot-on-goal,5v5
1545,shot-on-goal,5v5
1548,missed-shot,5v5
1552,goal,5v5
1554,goal,5v5
1558,missed-shot,5v5
1565,shot-on-goal,5v5
1566,missed-shot,5v5
1569,missed-shot,5v5
1572,shot-on-goal,5v5
1578,shot-on-goal,5v5
1579,shot-on-goal,5v5
1581,shot-on-goal,Other
1584,goal,Other
1586,shot-on-goal,5v5
1589,missed-shot,5v5
1591,shot-on-goal,5v5
1592,shot-on-goal,5v5
1595,missed-shot,5v5
1600,shot-on-goal,5v5
1602,missed-shot,5v5
1603,shot-on-goal,5v5
1608,missed-shot,5v4
1611,missed-shot,5v4
1615,shot-on-goal,5v5
1617,shot-on-goal,5v5
1622,shot-on-goal,5v5
1626,shot-on-goal,5v5
1629,shot-on-goal,5v5
1640,shot-on-goal,5v4
1644,missed-shot,5v5
1649,shot-on-goal,5v5
1657,missed-shot,5v5
1659,shot-on-goal,5v5
1661,shot-on-goal,5v5
1662,shot-on-goal,5v5
1668,shot-on-goal,5v5
1670,missed-shot,5v5
1671,shot-on-goal,5v5
1673,shot-on-goal,5v5
1676,shot-on-goal,5v5
1678,missed-shot,5v5
1679,shot-on-goal,5v5
1685,shot-on-goal,5v5
1688,shot-on-goal,5v5
1689,shot-on-goal,5v5
1693,missed-shot,5v5
1694,shot-on-goal,5v5
1695,shot-on-goal,5v5
1699,shot-on-goal,5v5
1701,shot-on-goal,5v5
1702,shot-on-goal,5v5
1709,shot-on-goal,5v5
1711,missed-shot,5v5
1712,shot-on-goal,5v5
1717,shot-on-goal,5v5
1724,shot-on-goal,4v5
1725,missed-shot,5v4
1726,shot-on-goal,5v4
1729,shot-on-goal,5v4
1730,shot-on-goal,5v4
1732,shot-on-goal,5v5
1733,shot-on-goal,5v5
1735,goal,5v5
1740,missed-shot,5v5
1743,shot-on-goal,4v5
1744,missed-shot,5v4
1745,missed-shot,5v4
1748,missed-shot,5v5
1754,shot-on-goal,5v5
1758,missed-shot,5v5
1759,missed-shot,5v5
1761,shot-on-goal,5v5
1764,missed-shot,5v5
1766,missed-shot,5v5
1767,missed-shot,5v5
1768,shot-on-goal,5v5
1769,missed-shot,5v5
1770,missed-shot,5v5
1776,missed-shot,5v5
1777,missed-shot,5v5
1779,shot-on-goal,5v5
1782,shot-on-goal,5v5
1787,shot-on-goal,5v5
1790,missed-shot,5v5
1791,shot-on-goal,5v5
1792,shot-on-goal,5v5
1794,shot-on-goal,5v5
1796,shot-on-goal,5v5
1797,shot-on-goal,5v5
1801,shot-on-goal,5v5
1808,missed-shot,5v5
1810,missed-shot,5v5
1814,missed-shot,5v4
1817,missed-shot,5v4
1825,shot-on-goal,5v5
1826,shot-on-goal,5v5
1834,shot-on-goal,5v5
1837,shot-on-goal,5v5
1838,shot-on-goal,5v5
1840,missed-shot,5v5
1843,missed-shot,5v5
1855,shot-on-goal,5v5
1858,shot-on-goal,Other
1861,shot-on-goal,Other
1862,goal,Other
1865,shot-on-goal,5v5
1878,shot-on-goal,Other
1879,goal,Other
1883,missed-shot,5v5
1886,shot-on-goal,5v5
1888,shot-on-goal,5v5
1897,shot-on-goal,5v5
1903,shot-on-goal,5v5
1906,missed-shot,5v5
1909,shot-on-goal,5v5
1914,shot-on-goal,5v5
1920,shot-on-goal,5v5
1923,shot-on-goal,5v5
1925,shot-on-goal,5v5
1930,missed-shot,5v5
1932,shot-on-goal,5v5
1943,shot-on-goal,5v4
1945,shot-on-goal,5v4
1948,shot-on-goal,5v5
1953,shot-on-goal,5v5
1954,shot-on-goal,5v5
1962,shot-on-goal,5v5
1963,shot-on-goal,5v5
1964,shot-on-goal,5v5
1966,shot-on-goal,5v5
1967,shot-on-goal,5v5
1968,shot-on-goal,5v5
1975,missed-shot,5v5
1980,shot-on-goal,5v5
1981,goal,5v5
1987,shot-on-goal,5v5
1989,shot-on-goal,5v5
1995,shot-on-goal,5v5
1996,shot-on-goal,5v5
2000,shot-on-goal,5v5
2002,shot-on-goal,5v5
2003,goal,5v5
2006,missed-shot,5v5
2011,missed-shot,Other
2014,shot-on-goal,Other
2018,shot-on-goal,Other
2020,shot-on-goal,5v5
2022,shot-on-goal,5v5
2026,shot-on-goal,5v5
2029,shot-on-goal,5v5
2031,shot-on-goal,5v5
2034,shot-on-goal,5v5
2040,shot-on-goal,5v5
2041,shot-on-goal,5v5
2043,missed-shot,5v5
2044,missed-shot,5v5
2048,missed-shot,5v5
2050,shot-on-goal,5v5
2051,missed-shot,5v5
2053,shot-on-goal,5v5
2054,missed-shot,5v5
2055,shot-on-goal,5v5
2057,shot-on-goal,5v5
2060,shot-on-goal,5v5
2061,shot-on-goal,5v5
2066,shot-on-goal,5v5
2070,missed-shot,5v5
2072,missed-shot,5v5
2078,shot-on-goal,5v5
2080,missed-shot,5v5
2083,shot-on-goal,5v5
2085,goal,5v5
2089,shot-on-goal,5v5
2092,missed-shot,5v5
2100,shot-on-goal,5v5
2102,shot-on-goal,5v5
2107,shot-on-goal,5v5
2109,shot-on-goal,5v5
2112,shot-on-goal,5v5
2113,shot-on-goal,5v5
2122,shot-on-goal,5v5
2124,shot-on-goal,5v5
2131,missed-shot,5v5
